code,product_name,brands,categories,additives_tags,allergens_tags,ingredients_text,nutrition_grades,image_url,energy_100g,proteins_100g,carbohydrates_100g,sugars_100g,fat_100g,saturated-fat_100g,salt_100g,fiber_100g,additives_count,allergens_count,nutrient_score
8906120107181,Raw Sunflower Seeds,Farmley,Plant-based foods and beverages,[],[],Raw Sunflower Seeds,a,https://images.openfoodfacts.org/images/products/890/612/010/7181/front_en.3.400.jpg,2631.74,22.7,22.9,5.2,47.7,4.2,0.045,9.5,0.0,0.0,7.0
9089898000003,BOBY SAFFRON,J.S. VARAKHWALA,en:spices,,[],,not-applicable,,,,,,,,,,,0.0,5.0
8906084413021,mom 3 cheese pasta,mom,pasta,"['en:e415', 'en:e551', 'en:e627', 'en:e631']","['en:gluten', 'en:milk']","Pasta: Durum Wheat Pasta (58%) 3 Cheese Sauce Mix: Milk Solids (Cheese Powder (12%), Mozzarella Cheese Powder (7%), Parmesan Cheese Powder (2.5%), Whole Milk Powder, Skimmed Milk Powder), Potato Starch, Wheat Flour, Spices & Condiments (Onion, Garlic, Parsley), lodized Salt, Vegetable (Palm) Fat Powder, Maltodextrin, Natural & Nature Identical flavouring substances, Stabilizer (INS 415) Flavour Enhancer (INS 627, INS 631). Italian Seasoning Mix: Dehydrated Garlic, lodized Salt, Spices and Herbs (Oregano, Basil, Black Pepper, Chilli), Edible Soyabean Oil, Anticaking Agent (INS 551). CONTAINS ADDED NATURAL FLAVOURING SUBSTANCES ALLERGEN ADVICE Contains Milk & Wheat STORE IN A COOL AND DRY PLACE Nutrition Nutritional Information (A Energy (kca Total Fat ( Saturated Fat Trans Fal Cholestrol ing Sodium (mg) Total Carbohyd Dietary Fiber Total Suger Includes A Protein (g) Vitamin D Pottasium Iron (mg) Calcium (mg) # Recommend as per For Feedback reachemealth Or Alimento Park OPCL toll free nor",unknown,https://images.openfoodfacts.org/images/products/890/608/441/3021/front_en.3.400.jpg,1717.0,12.0,70.0,4.0,9.0,3.0,,4.0,4.0,2.0,7.0
8901725007119,,,en:potato-crisps,,[],,unknown,https://images.openfoodfacts.org/images/products/890/172/500/7119/front_en.3.400.jpg,,,,,,,,,,0.0,5.0
8901207045035,,Dabur,chyawanprash,,[],,unknown,https://images.openfoodfacts.org/images/products/890/120/704/5035/front_en.3.400.jpg,,,,,,,,,,0.0,5.0
8901063338494,Britannia Pav,Britannia,Plant-based foods and beverages,"['en:e1100', 'en:e1102', 'en:e260', 'en:e282', 'en:e300', 'en:e472e', 'en:e510']","['en:gluten', 'en:soybeans']","REFINED WHEAT FLOUR (MAIDA), WATER, SUGAR, REFINED PALMOLEIN OIL, YEAST, IODISED SALT, SOYA FLOUR, PRESERVATIVE (282), VITAL GLUTEN, EMULSIFIER (472e), ACIDITY REGULATOR (260), FLOUR TREATMENT AGENT (510), IMPROVERS (1100(1), 1102, 1104 & XYLANASE) AND ANTIOXIDANT (300)",d,https://images.openfoodfacts.org/images/products/890/106/333/8494/front_en.3.400.jpg,,,,,,,,,7.0,2.0,5.0
8901719129018,Marie,Parle,Biscuit whole,,[],,d,https://images.openfoodfacts.org/images/products/890/171/912/9018/front_en.3.400.jpg,1890.0,7.7,77.2,20.5,12.4,5.7,0.578,,,0.0,2.0
8904063227928,,Haldiram's,Namkeen,,[],,unknown,https://images.openfoodfacts.org/images/products/890/406/322/7928/front_en.3.400.jpg,,,,,,,,,,0.0,5.0
6001374081033,Clere,AMKA PRODUCT (PTY) LTD,,,[],,unknown,https://images.openfoodfacts.org/images/products/600/137/408/1033/front_en.3.400.jpg,,,,,,,,,,0.0,5.0
8904071707061,,,,,,,,https://images.openfoodfacts.org/images/products/890/407/170/7061/front_en.3.400.jpg,,,,,,,,,,,5.0
8906036300058,,,,,[],,unknown,https://images.openfoodfacts.org/images/products/890/603/630/0058/front_en.14.400.jpg,,,,,,,,,,0.0,5.0
